SNO,START_DATE,USERID,SUB,TOPIC,TOPIC_DETAILS,COMPLETED,ADDED_DATE,UPDATE_TIME
526,2025-05-10,sumit0009,Project,Project,Project plan for e commerce,NO ,2025-05-11,2025-05-11 13:55:45.106
525,2025-05-09,sumit0009,Java8,Java8,Lembda expression, DateAPI,NO ,2025-05-11,2025-05-11 13:20:58.477
524,2025-05-08,sumit0009,Java8, SQL,Java8, SQL,StreamApi, DateAPI, Joins,NO ,2025-05-11,2025-05-11 13:19:43.375
523,2025-05-07,sumit0009,Autocad,Autocad,Autocad,NO ,2025-05-11,2025-05-11 13:18:37.677
522,2025-05-06,sumit0009,SQL, Project,SQL, Project,SQL, Project,NO ,2025-05-11,2025-05-11 13:17:54.978
521,2025-05-05,sumit0009,java, Spring,Collection, Project,Collection, Project,NO ,2025-05-11,2025-05-11 13:17:12.872
502,2025-05-04,sumit0009,SpringBoot,Project,e-commerce(Backend),NO ,2025-05-05,2025-05-05 03:34:24.847
501,2025-05-03,sumit0009,SpringBoot, Autocad,Project, Drowing,e-commerce, Normal Drowing,NO ,2025-05-05,2025-05-05 03:32:58.584
496,2025-04-26,sumit009,SpringBoot, Programming,Project, Array,Array, Project,NO ,2025-04-27,2025-04-27 18:12:27.52
495,2025-04-25,sumit009,SpringBoot, Programming,Project, String,Project, String,NO ,2025-04-27,2025-04-27 18:11:08.881
494,2025-04-24,sumit0009,SpringBoot,Project,Project,NO ,2025-04-27,2025-04-27 18:10:16.102
493,2025-03-10,sumit0009,SQL,Joins,Joins,NO ,2025-04-27,2025-04-27 17:00:03.272
492,2025-03-09,sumit0009,SQL,Joins,Joins,NO ,2025-04-27,2025-04-27 16:59:20.366
491,2025-03-08,Sumit009,Programming,Pattern,Pattern,NO ,2025-04-27,2025-04-27 16:58:07.061
490,2025-03-06,sumit0009,Programming,Array, String,Array String,NO ,2025-04-27,2025-04-27 16:55:09.996
489,2025-03-05,sumit0009,Spring, programming,Spring core, String,Annotation, String,NO ,2025-04-27,2025-04-27 16:37:47.313
488,2025-03-04,sumit0009,Spring, SQL,Spring core, Sub-Query,Dependency injection,NO ,2025-04-27,2025-04-27 16:34:49.775
487,2025-03-02,sumit0009,Spring,Spring core,Dependency injection,NO ,2025-04-27,2025-04-27 16:34:37.026
486,2025-03-01,sumit0009,Programming, Java, SQL,Array, String, sub-query,Array, String, sub-query,NO ,2025-04-27,2025-04-27 16:21:01.625
485,2025-02-28,sumit009,Programming,Array, String,2D array, String,NO ,2025-04-27,2025-04-27 16:18:56.417
484,2025-02-26,sumit0009,SQL, Java ,MRF, Collection,MRF, Collection,NO ,2025-04-27,2025-04-27 16:17:59.675
